기간	자치구	합계	합계	살인	살인	강도	강도	강간강제추행	강간강제추행	절도	절도	폭력	폭력
기간	자치구	발생	검거	발생	검거	발생	검거	발생	검거	발생	검거	발생	검거
2015	합계	126,401	82,680	163	156	276	257	5,449	5,069	55,307	21,842	65,206	55,356
2015	종로구	4,705	4,430	6	8	11	13	211	1,139	2,184	1,145	2,293	2,125
2015	중구	4,954	2,942	3	2	9	6	170	111	2,548	859	2,224	1,964
2015	용산구	3,820	2,483	5	5	14	14	194	173	1,557	587	2,050	1,704
2015	성동구	3,358	2,123	4	4	9	8	126	119	1,607	597	1,612	1,395
2015	광진구	5,909	3,707	4	4	14	26	240	220	3,026	1,277	2,625	2,180
2015	동대문구	4,720	3,205	5	5	13	13	173	146	1,981	814	2,548	2,227
2015	중랑구	5,193	3,405	13	12	11	9	187	148	2,135	829	2,847	2,407
2015	성북구	4,154	2,729	5	5	5	4	150	124	1,785	741	2,209	1,855
2015	강북구	4,257	3,113	7	8	14	13	153	126	1,434	618	2,649	2,348
2015	도봉구	2,664	1,900	3	3	9	10	102	106	1,063	478	1,487	1,303
2015	노원구	5,130	3,268	10	10	7	7	197	121	2,193	801	2,723	2,329
2015	은평구	4,745	3,167	3	3	9	6	166	141	1,914	711	2,653	2,306
2015	서대문구	4,029	2,579	2	2	5	4	154	124	1,812	738	2,056	1,711
2015	마포구	5,854	3,597	8	8	14	10	294	247	2,555	813	2,983	2,519
2015	양천구	4,528	2,815	3	5	6	3	120	105	1,890	672	2,509	2,030
2015	강서구	5,585	4,190	7	8	13	13	262	191	2,096	1,260	3,207	2,718
2015	구로구	5,646	3,502	8	6	15	11	281	164	2,335	889	3,007	2,432
2015	금천구	3,781	2,796	3	4	6	6	151	122	1,567	888	2,054	1,776
2015	영등포구	6,867	4,154	14	12	22	20	295	183	2,964	978	3,572	2,961
2015	동작구	4,074	2,397	5	5	9	5	285	139	1,865	661	1,910	1,587
2015	관악구	6,345	3,712	9	8	12	14	320	221	2,706	827	3,298	2,642
2015	서초구	5,444	3,450	8	6	9	6	393	249	2,635	1,091	2,399	2,098
2015	강남구	8,617	5,732	13	10	21	18	449	349	3,850	1,650	4,284	3,705
2015	송파구	6,778	4,113	11	10	13	10	220	178	3,239	1,129	3,295	2,786
2015	강동구	5,244	3,171	4	3	6	8	156	123	2,366	789	2,712	2,248
